ecosystem,packageName,name,displayName,description,recipeCount,category1,category2,category1Description,category2Description
maven,org.openrewrite.recipe:rewrite-openapi,org.openrewrite.openapi.swagger.ConvertApiResponseCodesToStrings,Convert API response codes to strings,Convert API response codes to strings.,1,Swagger,OpenAPI,Recipes to perform [Swagger](https://swagger.io/) migration tasks.,Recipes to perform [OpenAPI](https://www.openapis.org/) migration tasks.
maven,org.openrewrite.recipe:rewrite-openapi,org.openrewrite.openapi.swagger.ConvertApiResponseToContent,Convert API response to content annotation,Add `content = @Content(mediaType = ...)` and `schema` to `@ApiResponse`.,1,Swagger,OpenAPI,Recipes to perform [Swagger](https://swagger.io/) migration tasks.,Recipes to perform [OpenAPI](https://www.openapis.org/) migration tasks.
maven,org.openrewrite.recipe:rewrite-openapi,org.openrewrite.openapi.swagger.MigrateApiImplicitParam,Migrate `@ApiImplicitParam` to `@Parameter`,Migrate `@ApiImplicitParam` to `@Parameter`.,1,Swagger,OpenAPI,Recipes to perform [Swagger](https://swagger.io/) migration tasks.,Recipes to perform [OpenAPI](https://www.openapis.org/) migration tasks.
maven,org.openrewrite.recipe:rewrite-openapi,org.openrewrite.openapi.swagger.MigrateApiModelToSchema,Migrate from `@ApiModel` to `@Schema`,Converts the `@ApiModel` annotation to `@Schema` and converts the "value" attribute to "name".,1,Swagger,OpenAPI,Recipes to perform [Swagger](https://swagger.io/) migration tasks.,Recipes to perform [OpenAPI](https://www.openapis.org/) migration tasks.
maven,org.openrewrite.recipe:rewrite-openapi,org.openrewrite.openapi.swagger.MigrateApiParamDefaultValue,Migrate `@ApiParam(defaultValue)` to `@Parameter(schema)`,Migrate `@ApiParam(defaultValue)` to `@Parameter(schema = @Schema(defaultValue))`.,1,Swagger,OpenAPI,Recipes to perform [Swagger](https://swagger.io/) migration tasks.,Recipes to perform [OpenAPI](https://www.openapis.org/) migration tasks.
maven,org.openrewrite.recipe:rewrite-openapi,org.openrewrite.openapi.swagger.MigrateApiToTag,Migrate from `@Api` to `@Tag`,Converts `@Api` to `@Tag` annotation and converts the directly mappable attributes and removes the others.,1,Swagger,OpenAPI,Recipes to perform [Swagger](https://swagger.io/) migration tasks.,Recipes to perform [OpenAPI](https://www.openapis.org/) migration tasks.
maven,org.openrewrite.recipe:rewrite-openapi,org.openrewrite.openapi.swagger.MigrateSwaggerDefinitionToOpenAPIDefinition,Migrate from `@SwaggerDefinition` to `@OpenAPIDefinition`,Migrate from `@SwaggerDefinition` to `@OpenAPIDefinition`.,1,Swagger,OpenAPI,Recipes to perform [Swagger](https://swagger.io/) migration tasks.,Recipes to perform [OpenAPI](https://www.openapis.org/) migration tasks.
maven,org.openrewrite.recipe:rewrite-openapi,org.openrewrite.openapi.swagger.SwaggerToOpenAPI,Migrate from Swagger to OpenAPI,Migrate from Swagger to OpenAPI.,85,Swagger,OpenAPI,Recipes to perform [Swagger](https://swagger.io/) migration tasks.,Recipes to perform [OpenAPI](https://www.openapis.org/) migration tasks.
maven,org.openrewrite.recipe:rewrite-openapi,org.openrewrite.openapi.swagger.UseJakartaSwaggerArtifacts,Use Jakarta Swagger Artifacts,Migrate from javax Swagger artifacts to Jakarta versions.,21,Swagger,OpenAPI,Recipes to perform [Swagger](https://swagger.io/) migration tasks.,Recipes to perform [OpenAPI](https://www.openapis.org/) migration tasks.
maven,org.openrewrite.recipe:rewrite-openapi,org.openrewrite.openapi.swagger.MigrateApiOperationToOperation,Migrate from `@ApiOperation` to `@Operation`,Converts the `@ApiOperation` annotation to `@Operation` and converts the directly mappable attributes and removes the others.,17,Swagger,OpenAPI,Recipes to perform [Swagger](https://swagger.io/) migration tasks.,Recipes to perform [OpenAPI](https://www.openapis.org/) migration tasks.
maven,org.openrewrite.recipe:rewrite-openapi,org.openrewrite.openapi.swagger.MigrateApiResponsesToApiResponses,Migrate from `@ApiResponses` to `@ApiResponses`,"Changes the namespace of the `@ApiResponses` and `@ApiResponse` annotations and converts its attributes (ex. code -> responseCode, message -> description, response -> content).",13,Swagger,OpenAPI,Recipes to perform [Swagger](https://swagger.io/) migration tasks.,Recipes to perform [OpenAPI](https://www.openapis.org/) migration tasks.
maven,org.openrewrite.recipe:rewrite-openapi,org.openrewrite.openapi.swagger.MigrateApiImplicitParamsToParameters,Migrate from `@ApiImplicitParams`  to `@Parameters`,Converts `@ApiImplicitParams` to `@Parameters` and the `@ApiImplicitParam` annotation to `@Parameter` and converts the directly mappable attributes and removes the others.,15,Swagger,OpenAPI,Recipes to perform [Swagger](https://swagger.io/) migration tasks.,Recipes to perform [OpenAPI](https://www.openapis.org/) migration tasks.
maven,org.openrewrite.recipe:rewrite-openapi,org.openrewrite.openapi.swagger.MigrateApiParamToParameter,Migrate from `@ApiParam` to `@Parameter`,Converts the `@ApiParam` annotation to `@Parameter` and converts the directly mappable attributes.,9,Swagger,OpenAPI,Recipes to perform [Swagger](https://swagger.io/) migration tasks.,Recipes to perform [OpenAPI](https://www.openapis.org/) migration tasks.
maven,org.openrewrite.recipe:rewrite-openapi,org.openrewrite.openapi.swagger.MigrateApiModelPropertyToSchema,Migrate from `@ApiModelProperty` to `@Schema`,Converts the `@ApiModelProperty` annotation to `@Schema` and converts the "value" attribute to "description".,13,Swagger,OpenAPI,Recipes to perform [Swagger](https://swagger.io/) migration tasks.,Recipes to perform [OpenAPI](https://www.openapis.org/) migration tasks.
